Route,curr facility,Full Address,Address,City,State,Zip Code,LatLng
B,Institute of Aging,3575 Geary Blvd San Francisco CA 94118,3575 Geary Blvd ,San Francisco,CA,94118,"37.78116812719385, -122.45793640350523"
2,Merced Residential Care Facility (259 Broad),259 Broad St San Francisco CA 94112,259 Broad St ,San Francisco,CA,94112,"37.71306354544996, -122.46123183234313"
6,Merced Residential Care Facility (Girard),129 Girard St San Francisco CA 94134,129 Girard St ,San Francisco,CA,94134,"37.73079809427064, -122.40570074583697"
7,Parkside Retirement Homes,2447 19th Ave San Francisco CA 94116,2447 19th Ave ,San Francisco,CA,94116,"37.742359089470796, -122.4759800323421"
8,Victorian Manor,1444 McAllister St San Francisco CA 94115,1444 McAllister St ,San Francisco,CA,94115,"37.77867638951617, -122.43569468816482"
8,Providence Place,2456 Geary Blvd San Francisco CA 94115,2456 Geary Blvd ,San Francisco,CA,94115,"37.78325955628446, -122.44388610350533"
X(8),Hayes Convalescent Hospital,1250 Hayes St San Francisco CA 94117,1250 Hayes St ,San Francisco,CA,94117,"37.77552897575053, -122.43716771884627"
X(3),Laurel Heights Community Care,2740 California St San Francisco CA 94115,2740 California St ,San Francisco,CA,94115,"37.78867324692942, -122.43977900350498"
joe,CENTRAL GARDENS POST ACUTE,1355 Ellis St San Francisco CA 94115,1355 Ellis St ,San Francisco,CA,94115,"37.782793219299926, -122.42858660350532"
6,"Portola Gardens, LLC",350 University St San Francisco CA 94134,350 University St ,San Francisco,CA,94134,"37.7256608194701, -122.41430377467225"
6,MERCED THREE RESIDENTIAL CARE FACILITY (HAMPSHIRE),1420 Hampshire St San Francisco CA 94110,1420 Hampshire St ,San Francisco,CA,94110,"37.749667402884754, -122.40707395933072"
6,Jewish Home and Rehab Center,302 Silver Ave San Francisco CA 94112,302 Silver Ave ,San Francisco,CA,94112,"37.727875000635386, -122.43085423234265"
X(8),SF Health Care and Rehab Inc,1477 Grove St San Francisco CA 94117,1477 Grove St ,San Francisco,CA,94117,"37.775557019197734, -122.44076118816483"
3,Gee Building,1333 Bush St San Francisco CA 94109,1333 Bush St ,San Francisco,CA,94109,"37.78871000436386, -122.41903020350506"
2,Alma Via of San Francisco,1 Thomas More Way San Francisco CA 94132,1 Thomas More Way ,San Francisco,CA,94132,"37.71223603468055, -122.47213330350796"
10,THE AVENUES TRANSITIONAL CARE,2043 19th Ave San Francisco CA 94116,2043 19th Ave ,San Francisco,CA,94116,"37.74978220326263, -122.47649251884728"
,,"1 Daniel Burnham Ct San Francisco, CA 94109",1 Daniel Burnham Ct,San Francisco,CA,94109,"37.787003352614306, -122.42193830825822"
,,"1 Shrader St San Francisco, CA 94117",1 Shrader St,San Francisco,CA,94117,"37.774792159137846, -122.4531615304945"
,,"1001 Potrero Ave San Francisco, CA 94110",1001 Potrero Ave,San Francisco,CA,94110,"37.75663977994716, -122.40629179370416"
,,"1100 Van Ness Ave San Francisco, CA 94109",1100 Van Ness Ave,San Francisco,CA,94109,"37.78623285968286, -122.42112335058813"
,,"1101 Van Ness Ave San Francisco, CA 94109",1101 Van Ness Ave,San Francisco,CA,94109,"37.78628646377506, -122.42282180535133"
,,"1375 Sutter St San Francisco, CA 94109",1375 Sutter St,San Francisco,CA,94109,"37.78745550753086, -122.42292613049409"
,,"1445 Bush St San Francisco, CA 94109",1445 Bush St,San Francisco,CA,94109,"37.788487211008565, -122.42111493234012"
,,"1499 Webster St San Francisco, CA 94115",1499 Webster St,San Francisco,CA,94115,"37.784787371949704, -122.43167991315994"
,,"1500 Owens St San Francisco, CA 94158",1500 Owens St,San Francisco,CA,94158,"37.769078453913274, -122.39590953234097"
,,"1580 Valencia St San Francisco, CA 94110",1580 Valencia St,San Francisco,CA,94110,"37.74754924041039, -122.4206979016604"
,,"1600 Divisadero St San Francisco, CA 94115",1600 Divisadero St,San Francisco,CA,94115,"37.78508207420729, -122.43891641314968"
,,"1651 4th St San Francisco, CA 94158",1651 4th St,San Francisco,CA,94158,"37.768443655515085, -122.39086696117603"
,,"1660 Geary Blvd San Francisco, CA 94115",1660 Geary Blvd,San Francisco,CA,94115,"37.78515901332811, -122.43061603049415"
,,"1661 Mission St San Francisco, CA 94103",1661 Mission St,San Francisco,CA,94103,"37.77145496349448, -122.41908013049459"
,,"1725 Montgomery 2nd fl #250 San Francisco, CA 94111",1725 Montgomery 2nd fl #250,San Francisco,CA,94111,"37.805249555160074, -122.40546808816366"
,,"1825 4th St San Francisco, CA 94158",1825 4th St,San Francisco,CA,94158,"37.76790689171088, -122.39222477339588"
,,"185 Berry st. San Francisco, CA 94107",185 Berry st.,San Francisco,CA,94107,"37.776368192584194, -122.39168468956743"
,,"1880 Mission St San Francisco, CA 94103",1880 Mission St,San Francisco,CA,94103,"37.76717967134103, -122.42011341700031"
,,"1975 4th St San Francisco, CA 94158",1975 4th St,San Francisco,CA,94158,"37.765555425637906, -122.39028941700037"
,,"2100 Webster St San Francisco, CA 94115",2100 Webster St,San Francisco,CA,94115,"37.79068582819112, -122.43215626117538"
,,"2107 O Farrell St San Francisco, CA 94115",2107 O Farrell St,San Francisco,CA,94115,"37.78242396127077, -122.43966123234043"
,,"2250 Hayes St San Francisco, CA 94117",2250 Hayes St,San Francisco,CA,94117,"37.7739984544519, -122.45347450748358"
,,"2255 Post St San Francisco, CA 94115",2255 Post St,San Francisco,CA,94115,"37.78432151544217, -122.43893663418655"
,,"2299 Post St San Francisco, CA 94118",2299 Post St,San Francisco,CA,94118,"37.78425121927187, -122.43911411884584"
,,"2324 Sacramento St San Francisco, CA 94115",2324 Sacramento St,San Francisco,CA,94115,"37.790804742037366, -122.43163501699927"
,,"2330 Post St San Francisco, CA 94115",2330 Post St,San Francisco,CA,94115,"37.78469541061565, -122.44048541884582"
,,"2333 Buchanan St San Francisco, CA 94115",2333 Buchanan St,San Francisco,CA,94115,"37.791048576952626, -122.43132776117521"
,,"2351 Clay St San Francisco, CA 94115",2351 Clay St,San Francisco,CA,94115,"37.790882313350785, -122.43174533418632"
,,"2380 Sutter St San Francisco, CA 94115",2380 Sutter St,San Francisco,CA,94115,"37.78563577035282, -122.4395590881644"
,,"301 Main St San Francisco, CA 94105",301 Main St,San Francisco,CA,94105,"37.78983477332991, -122.39123941884567"
,,"3440 California St San Francisco, CA 94118",3440 California St,San Francisco,CA,94118,"37.78711947155474, -122.45102720350512"
,,"3716 Geary Blvd San Francisco, CA 94118",3716 Geary Blvd,San Francisco,CA,94118,"37.781770899237046, -122.45930088816458"
,,"3838 California St San Francisco, CA 94118",3838 California St,San Francisco,CA,94118,"37.786254715363704, -122.4576553765161"
,,"400 Parnassus Ave San Francisco, CA 94143",400 Parnassus Ave,San Francisco,CA,94143,"37.76405988498912, -122.45714663049505"
,,"45 Castro St San Francisco, CA 94114",45 Castro St,San Francisco,CA,94114,"37.769117953813655, -122.43548559001134"
,,"450 Stanyan St San Francisco, CA 94117",450 Stanyan St,San Francisco,CA,94117,"37.77420207803409, -122.45392149001111"
,,"450 Sutter St San Francisco, CA 94108",450 Sutter St,San Francisco,CA,94108,"37.789847786979784, -122.40780341699941"
,,"490 Illinois St San Francisco, CA 94158",490 Illinois St,San Francisco,CA,94158,"37.76647813524015, -122.3885661881653"
,,"490 Post St San Francisco, CA 94102",490 Post St,San Francisco,CA,94102,"37.78871640434784, -122.40984321884567"
,,"505 Parnassus Ave San Francisco, CA 94143",505 Parnassus Ave,San Francisco,CA,94143,"37.76365456759928, -122.45740091700057"
,,"515 San Jose Ave San Francisco, CA 94110",515 San Jose Ave,San Francisco,CA,94110,"37.747365842705676, -122.42109363049565"
,,"520 Illinois St San Francisco, CA 94158",520 Illinois St,San Francisco,CA,94158,"37.7658218621308, -122.38858243603347"
,,"535 Mission Bay Blvd South San Francisco, CA 94158",535 Mission Bay Blvd South,San Francisco,CA,94158,"37.77042881222278, -122.39073244583544"
,,"55 Stevenson St San Francisco, CA 94105",55 Stevenson St,San Francisco,CA,94105,"37.789831429640174, -122.39955975058703"
,,"555 San Jose Ave San Francisco, CA 94110",555 San Jose Ave,San Francisco,CA,94110,"37.74725540896829, -122.42104661515496"
,,"595 Buckingham Way San Francisco, CA 94132",595 Buckingham Way,San Francisco,CA,94132,"37.7305403511187, -122.47634139001283"
,,"601 Duboce St North Tower San Francisco, CA 94114",601 Duboce St North Tower,San Francisco,CA,94114,"37.76840855560383, -122.43457114583568"
,,"601 Duboce St South Tower San Francisco, CA 94114",601 Duboce St South Tower,San Francisco,CA,94114,"37.76840855560383, -122.43457114583568"
,,"711 Van Ness Ave San Francisco, CA 94102",711 Van Ness Ave,San Francisco,CA,94102,"37.78236250244036, -122.42101004768107"
,,"815 Hyde St San Francisco, CA 94109",815 Hyde St,San Francisco,CA,94109,"37.78870288934484, -122.41712760350497"
,,"845 Jackson St San Francisco, CA 94133",845 Jackson St,San Francisco,CA,94133,"37.795667741087264, -122.40915136117506"
,,"929 Clay St San Francisco, CA 94108",929 Clay St,San Francisco,CA,94108,"37.794054547166866, -122.4083217611751"
,,"950 Stockton St San Francisco, CA 94108",950 Stockton St,San Francisco,CA,94108,"37.79488499852684, -122.40781410165849"
